BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance

!  SPHERE 2014 with airmass=1.0 (VLT/VISTA) filter system


!  t (Gyr) =   0.0005
!-----------------------------------------------------------------------------------------------
 ! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0         B_Y         B_J         B_H        B_Ks      B_ND_H        D_H2        D_H3        D_H4        D_J2        D_J3        D_K1        D_K2        D_Y2        D_Y3       N_BrG      N_CntH      N_CntJ     N_CntK1     N_CntK2        N_CO      N_FeII        N_H2       N_HeI       N_PaB
!-----------------------------------------------------------------------------------------------
 0.010  2387.   -2.47  3.38  0.339    1.000   9.51   8.80   8.31   7.83   8.30   8.31   7.99   8.13   9.00   8.57   8.00   7.64   9.59   9.31   7.75   8.42   8.82   8.07   7.59   7.61   8.07   7.95   9.12   8.47  
 0.015  2514.   -2.21  3.38  0.413    1.000   8.81   8.16   7.68   7.24   7.67   7.68   7.40   7.51   8.32   7.95   7.39   7.06   8.89   8.62   7.17   7.78   8.18   7.46   7.02   7.03   7.46   7.35   8.47   7.87  
 0.020  2594.   -2.05  3.40  0.466    1.000   8.39   7.77   7.29   6.88   7.28   7.29   7.02   7.13   7.91   7.58   7.02   6.71   8.47   8.20   6.81   7.38   7.79   7.09   6.66   6.68   7.09   6.98   8.08   7.50  
 0.030  2668.   -1.79  3.36  0.599    1.000   7.71   7.11   6.63   6.24   6.62   6.63   6.37   6.47   7.25   6.94   6.39   6.08   7.79   7.53   6.18   6.72   7.13   6.45   6.03   6.05   6.43   6.35   7.42   6.85  
 0.040  2733.   -1.66  3.40  0.661    1.000   7.39   6.81   6.31   5.95   6.31   6.32   6.07   6.16   6.93   6.64   6.09   5.79   7.47   7.21   5.89   6.40   6.83   6.15   5.75   5.76   6.13   6.06   7.11   6.56  
 0.050  2762.   -1.48  3.34  0.791    1.000   6.95   6.38   5.87   5.52   5.87   5.88   5.63   5.72   6.50   6.21   5.66   5.36   7.03   6.78   5.47   5.96   6.40   5.72   5.32   5.33   5.68   5.63   6.68   6.13  
 0.060  2808.   -1.40  3.37  0.841    1.000   6.75   6.18   5.67   5.34   5.67   5.68   5.43   5.53   6.30   6.02   5.48   5.18   6.83   6.58   5.28   5.76   6.20   5.53   5.13   5.15   5.49   5.45   6.48   5.95  
 0.070  2835.   -1.33  3.37  0.900    1.000   6.57   6.00   5.49   5.16   5.48   5.49   5.24   5.34   6.12   5.85   5.30   5.00   6.65   6.40   5.11   5.57   6.03   5.36   4.96   4.97   5.30   5.27   6.30   5.77  
 0.072  2832.   -1.29  3.35  0.937    1.000   6.48   5.92   5.40   5.08   5.40   5.41   5.16   5.26   6.04   5.76   5.22   4.92   6.56   6.31   5.02   5.49   5.94   5.27   4.87   4.89   5.21   5.19   6.22   5.68  
 0.075  2836.   -1.27  3.34  0.966    1.000   6.41   5.85   5.33   5.00   5.32   5.33   5.08   5.18   5.96   5.69   5.14   4.84   6.49   6.24   4.95   5.41   5.87   5.20   4.80   4.82   5.14   5.12   6.15   5.61  
 0.080  2837.   -1.20  3.31  1.040    1.000   6.25   5.68   5.16   4.84   5.16   5.17   4.91   5.02   5.80   5.53   4.98   4.68   6.33   6.08   4.79   5.25   5.71   5.04   4.64   4.65   4.97   4.96   5.98   5.45  
 0.090  2864.   -1.13  3.31  1.101    1.000   6.09   5.53   5.00   4.69   4.99   5.00   4.75   4.85   5.64   5.37   4.83   4.53   6.17   5.92   4.63   5.09   5.55   4.89   4.48   4.50   4.80   4.80   5.83   5.29  
 0.100  2925.   -1.15  3.41  1.033    1.000   6.15   5.60   5.06   4.76   5.05   5.06   4.82   4.91   5.71   5.45   4.90   4.60   6.23   5.98   4.71   5.14   5.62   4.95   4.56   4.58   4.87   4.87   5.90   5.37  
 0.200  3220.   -0.54  3.26  1.728    1.000   4.71   4.19   3.47   3.24   3.47   3.46   3.27   3.33   4.30   4.06   3.34   3.13   4.78   4.57   3.18   3.54   4.22   3.38   3.10   3.13   3.30   3.32   4.51   3.99  
 0.300  3460.   -0.20  3.23  2.203    1.000   3.98   3.47   2.64   2.44   2.64   2.63   2.49   2.51   3.58   3.35   2.48   2.38   4.04   3.85   2.38   2.70   3.51   2.51   2.36   2.39   2.50   2.47   3.80   3.28  
 0.400  3670.   -0.05  3.30  2.338    1.000   3.68   3.19   2.34   2.15   2.34   2.33   2.21   2.22   3.31   3.08   2.17   2.12   3.73   3.57   2.10   2.39   3.24   2.18   2.11   2.14   2.22   2.17   3.52   3.01  
 0.500  3848.    0.07  3.36  2.444    1.000   3.40   2.94   2.12   1.94   2.11   2.11   2.01   2.00   3.05   2.83   1.95   1.93   3.45   3.30   1.89   2.16   2.99   1.96   1.92   1.95   2.01   1.95   3.26   2.76  
 0.600  3987.    0.16  3.41  2.524    1.000   3.20   2.76   1.97   1.81   1.97   1.96   1.87   1.86   2.87   2.65   1.81   1.81   3.24   3.11   1.76   2.01   2.81   1.82   1.79   1.83   1.87   1.81   3.07   2.58  
 0.700  4110.    0.26  3.43  2.657    1.000   2.96   2.54   1.80   1.65   1.79   1.79   1.70   1.70   2.65   2.44   1.65   1.65   3.00   2.88   1.60   1.83   2.59   1.66   1.64   1.67   1.71   1.65   2.84   2.37  
 0.800  4221.    0.35  3.44  2.805    1.000   2.74   2.34   1.63   1.50   1.63   1.62   1.55   1.54   2.44   2.23   1.50   1.49   2.77   2.66   1.45   1.66   2.39   1.50   1.48   1.51   1.55   1.50   2.62   2.17  
 0.900  4315.    0.43  3.45  2.944    1.000   2.55   2.16   1.49   1.36   1.49   1.48   1.41   1.40   2.26   2.06   1.36   1.36   2.58   2.47   1.32   1.52   2.21   1.37   1.35   1.38   1.41   1.36   2.43   2.00  
 1.000  4397.    0.50  3.46  3.079    1.000   2.38   2.00   1.36   1.23   1.35   1.35   1.28   1.27   2.10   1.90   1.24   1.23   2.41   2.30   1.19   1.38   2.05   1.24   1.22   1.25   1.28   1.24   2.26   1.84  
 1.100  4471.    0.57  3.47  3.209    1.000   2.23   1.86   1.24   1.12   1.24   1.23   1.16   1.16   1.96   1.76   1.12   1.12   2.25   2.15   1.08   1.26   1.91   1.13   1.11   1.14   1.16   1.13   2.11   1.70  
 1.200  4537.    0.63  3.47  3.344    1.000   2.08   1.72   1.13   1.01   1.12   1.12   1.05   1.05   1.82   1.63   1.02   1.01   2.11   2.01   0.98   1.15   1.77   1.02   1.01   1.03   1.05   1.02   1.97   1.57  
 1.300  4596.    0.68  3.47  3.469    1.000   1.95   1.61   1.03   0.92   1.02   1.02   0.96   0.95   1.70   1.51   0.92   0.92   1.98   1.88   0.88   1.04   1.65   0.93   0.91   0.94   0.95   0.92   1.85   1.45  
 1.400  4647.    0.74  3.47  3.601    1.000   1.83   1.49   0.93   0.82   0.92   0.92   0.86   0.86   1.58   1.40   0.82   0.82   1.85   1.76   0.79   0.94   1.54   0.83   0.81   0.84   0.86   0.83   1.73   1.33  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0010
!-----------------------------------------------------------------------------------------------
 ! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0         B_Y         B_J         B_H        B_Ks      B_ND_H        D_H2        D_H3        D_H4        D_J2        D_J3        D_K1        D_K2        D_Y2        D_Y3       N_BrG      N_CntH      N_CntJ     N_CntK1     N_CntK2        N_CO      N_FeII        N_H2       N_HeI       N_PaB
!-----------------------------------------------------------------------------------------------
 0.010  2345.   -2.70  3.57  0.271    1.000  10.09   9.35   8.84   8.36   8.84   8.84   8.52   8.67   9.57   9.11   8.53   8.16  10.17   9.89   8.27   8.96   9.37   8.61   8.11   8.14   8.59   8.47   9.69   9.02  
 0.015  2504.   -2.42  3.59  0.326    1.000   9.35   8.69   8.20   7.76   8.19   8.20   7.92   8.04   8.85   8.49   7.91   7.58   9.43   9.16   7.69   8.30   8.71   7.98   7.54   7.56   7.98   7.87   9.00   8.40  
 0.020  2598.   -2.25  3.60  0.372    1.000   8.88   8.26   7.77   7.36   7.76   7.77   7.51   7.61   8.40   8.07   7.50   7.19   8.97   8.70   7.29   7.86   8.28   7.56   7.15   7.17   7.57   7.46   8.57   7.99  
 0.030  2710.   -1.98  3.58  0.467    1.000   8.19   7.60   7.11   6.73   7.10   7.11   6.87   6.96   7.73   7.43   6.87   6.58   8.27   8.01   6.67   7.19   7.63   6.93   6.53   6.55   6.93   6.84   7.91   7.36  
 0.040  2779.   -1.81  3.58  0.536    1.000   7.78   7.21   6.71   6.35   6.70   6.71   6.48   6.56   7.33   7.05   6.48   6.20   7.86   7.61   6.30   6.79   7.23   6.54   6.16   6.17   6.53   6.45   7.51   6.97  
 0.050  2824.   -1.65  3.54  0.628    1.000   7.37   6.81   6.30   5.96   6.29   6.30   6.07   6.16   6.92   6.65   6.09   5.81   7.45   7.20   5.91   6.38   6.83   6.15   5.77   5.78   6.12   6.06   7.11   6.57  
 0.060  2864.   -1.53  3.52  0.702    1.000   7.07   6.52   6.00   5.67   5.99   6.00   5.77   5.86   6.63   6.36   5.81   5.52   7.15   6.90   5.62   6.08   6.54   5.86   5.48   5.50   5.82   5.78   6.81   6.28  
 0.070  2897.   -1.41  3.50  0.781    1.000   6.79   6.24   5.72   5.41   5.72   5.72   5.49   5.58   6.35   6.09   5.54   5.26   6.87   6.62   5.36   5.80   6.26   5.60   5.21   5.23   5.54   5.52   6.54   6.01  
 0.072  2896.   -1.39  3.49  0.803    1.000   6.73   6.18   5.66   5.35   5.66   5.66   5.43   5.52   6.30   6.03   5.49   5.20   6.81   6.57   5.30   5.74   6.21   5.54   5.15   5.17   5.48   5.46   6.48   5.96  
 0.075  2897.   -1.36  3.48  0.829    1.000   6.66   6.11   5.59   5.28   5.58   5.59   5.35   5.45   6.22   5.96   5.41   5.12   6.74   6.49   5.22   5.67   6.13   5.47   5.08   5.10   5.40   5.39   6.41   5.88  
 0.080  2898.   -1.31  3.45  0.877    1.000   6.54   5.99   5.46   5.15   5.46   5.46   5.23   5.32   6.10   5.83   5.29   5.00   6.62   6.37   5.10   5.54   6.01   5.35   4.95   4.97   5.28   5.26   6.29   5.76  
 0.090  2908.   -1.23  3.43  0.959    1.000   6.33   5.78   5.25   4.95   5.24   5.25   5.01   5.11   5.89   5.63   5.08   4.79   6.41   6.16   4.89   5.33   5.80   5.14   4.75   4.76   5.06   5.06   6.08   5.55  
 0.100  2936.   -1.17  3.44  1.002    1.000   6.20   5.65   5.11   4.81   5.10   5.11   4.87   4.97   5.76   5.50   4.95   4.66   6.28   6.03   4.76   5.19   5.67   5.00   4.62   4.63   4.92   4.92   5.95   5.43  
 0.200  3226.   -0.66  3.38  1.503    1.000   5.00   4.48   3.79   3.56   3.78   3.78   3.60   3.65   4.59   4.35   3.65   3.45   5.07   4.86   3.50   3.85   4.52   3.69   3.42   3.44   3.62   3.63   4.80   4.28  
 0.300  3428.   -0.48  3.49  1.636    1.000   4.62   4.12   3.36   3.15   3.36   3.35   3.20   3.23   4.23   4.00   3.20   3.08   4.68   4.49   3.09   3.41   4.17   3.23   3.06   3.09   3.22   3.19   4.44   3.94  
 0.400  3634.   -0.32  3.55  1.753    1.000   4.30   3.82   3.01   2.81   3.00   3.00   2.88   2.88   3.93   3.71   2.84   2.78   4.36   4.19   2.76   3.05   3.87   2.86   2.76   2.79   2.89   2.84   4.15   3.64  
 0.500  3802.   -0.18  3.59  1.870    1.000   4.01   3.55   2.74   2.56   2.73   2.73   2.62   2.62   3.66   3.44   2.57   2.54   4.06   3.91   2.51   2.78   3.60   2.58   2.53   2.56   2.63   2.57   3.87   3.37  
 0.600  3955.   -0.07  3.63  1.971    1.000   3.76   3.31   2.53   2.36   2.53   2.52   2.43   2.42   3.42   3.20   2.37   2.36   3.80   3.66   2.32   2.57   3.37   2.38   2.35   2.38   2.43   2.37   3.62   3.14  
 0.700  4078.    0.04  3.64  2.096    1.000   3.50   3.08   2.33   2.18   2.32   2.32   2.23   2.22   3.19   2.97   2.18   2.17   3.54   3.42   2.13   2.36   3.13   2.19   2.16   2.19   2.23   2.18   3.38   2.91  
 0.800  4192.    0.13  3.66  2.200    1.000   3.29   2.88   2.17   2.03   2.17   2.16   2.08   2.07   2.99   2.78   2.03   2.03   3.33   3.21   1.98   2.20   2.94   2.04   2.02   2.05   2.08   2.03   3.17   2.72  
 0.900  4290.    0.21  3.66  2.310    1.000   3.10   2.70   2.02   1.89   2.02   2.01   1.94   1.93   2.81   2.60   1.89   1.89   3.13   3.02   1.85   2.05   2.75   1.90   1.88   1.91   1.94   1.89   2.98   2.54  
 1.000  4377.    0.28  3.67  2.416    1.000   2.92   2.54   1.89   1.76   1.89   1.88   1.81   1.80   2.64   2.44   1.77   1.76   2.95   2.84   1.72   1.91   2.59   1.77   1.75   1.78   1.81   1.77   2.80   2.38  
 1.100  4456.    0.35  3.68  2.520    1.000   2.76   2.39   1.77   1.65   1.76   1.76   1.69   1.69   2.49   2.29   1.65   1.65   2.79   2.69   1.61   1.79   2.44   1.66   1.64   1.67   1.69   1.65   2.65   2.23  
 1.200  4529.    0.41  3.68  2.612    0.999   2.62   2.26   1.66   1.55   1.66   1.65   1.59   1.58   2.36   2.17   1.55   1.55   2.65   2.55   1.51   1.68   2.31   1.56   1.54   1.57   1.59   1.55   2.51   2.11  
 1.300  4596.    0.47  3.69  2.710    0.998   2.49   2.14   1.56   1.45   1.55   1.55   1.49   1.48   2.23   2.04   1.45   1.45   2.51   2.42   1.41   1.58   2.19   1.46   1.44   1.47   1.49   1.45   2.38   1.98  
 1.400  4658.    0.52  3.69  2.797    0.998   2.37   2.03   1.47   1.36   1.46   1.46   1.40   1.40   2.12   1.93   1.37   1.36   2.39   2.30   1.33   1.49   2.08   1.37   1.36   1.38   1.40   1.37   2.26   1.87  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0020
!-----------------------------------------------------------------------------------------------
 ! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0         B_Y         B_J         B_H        B_Ks      B_ND_H        D_H2        D_H3        D_H4        D_J2        D_J3        D_K1        D_K2        D_Y2        D_Y3       N_BrG      N_CntH      N_CntJ     N_CntK1     N_CntK2        N_CO      N_FeII        N_H2       N_HeI       N_PaB
!-----------------------------------------------------------------------------------------------
