BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance

!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)
!
! Unless mentioned otherwise, we assumed:
! photon count integration (caracteristic of CCDs)
!  UKIDSS filter system


!  t (Gyr) =   0.0005
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.010  2387.   -2.47  3.38  0.339    1.000   9.59  10.82   8.71   8.29   7.83  
 0.015  2514.   -2.21  3.38  0.413    1.000   8.88   9.97   8.07   7.66   7.23  
 0.020  2594.   -2.05  3.40  0.466    1.000   8.46   9.47   7.69   7.27   6.87  
 0.030  2668.   -1.79  3.36  0.599    1.000   7.77   8.73   7.04   6.61   6.24  
 0.040  2733.   -1.66  3.40  0.661    1.000   7.45   8.34   6.74   6.30   5.94  
 0.050  2762.   -1.48  3.34  0.791    1.000   7.01   7.89   6.31   5.86   5.52  
 0.060  2808.   -1.40  3.37  0.841    1.000   6.80   7.65   6.12   5.66   5.33  
 0.070  2835.   -1.33  3.37  0.900    1.000   6.62   7.46   5.94   5.47   5.16  
 0.072  2832.   -1.29  3.35  0.937    1.000   6.54   7.38   5.86   5.39   5.07  
 0.075  2836.   -1.27  3.34  0.966    1.000   6.47   7.31   5.78   5.32   5.00  
 0.080  2837.   -1.20  3.31  1.040    1.000   6.30   7.15   5.62   5.15   4.84  
 0.090  2864.   -1.13  3.31  1.101    1.000   6.14   6.98   5.46   4.99   4.68  
 0.100  2925.   -1.15  3.41  1.033    1.000   6.20   6.99   5.54   5.04   4.76  
 0.200  3220.   -0.54  3.26  1.728    1.000   4.76   5.38   4.14   3.46   3.25  
 0.300  3460.   -0.20  3.23  2.203    1.000   4.02   4.51   3.43   2.63   2.45  
 0.400  3670.   -0.05  3.30  2.338    1.000   3.72   4.11   3.15   2.33   2.16  
 0.500  3848.    0.07  3.36  2.444    1.000   3.44   3.77   2.90   2.10   1.95  
 0.600  3987.    0.16  3.41  2.524    1.000   3.23   3.54   2.72   1.96   1.82  
 0.700  4110.    0.26  3.43  2.657    1.000   2.99   3.28   2.51   1.79   1.66  
 0.800  4221.    0.35  3.44  2.805    1.000   2.77   3.04   2.31   1.62   1.50  
 0.900  4315.    0.43  3.45  2.944    1.000   2.58   2.83   2.13   1.48   1.37  
 1.000  4397.    0.50  3.46  3.079    1.000   2.40   2.65   1.97   1.35   1.24  
 1.100  4471.    0.57  3.47  3.209    1.000   2.25   2.49   1.83   1.23   1.13  
 1.200  4537.    0.63  3.47  3.344    1.000   2.11   2.34   1.70   1.12   1.02  
 1.300  4596.    0.68  3.47  3.469    1.000   1.98   2.20   1.58   1.02   0.93  
 1.400  4647.    0.74  3.47  3.601    1.000   1.85   2.07   1.46   0.92   0.83  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0010
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.010  2345.   -2.70  3.57  0.271    1.000  10.18  11.44   9.26   8.83   8.36  
 0.015  2504.   -2.42  3.59  0.326    1.000   9.42  10.51   8.61   8.19   7.76  
 0.020  2598.   -2.25  3.60  0.372    1.000   8.95   9.94   8.19   7.76   7.35  
 0.030  2710.   -1.98  3.58  0.467    1.000   8.25   9.14   7.54   7.10   6.73  
 0.040  2779.   -1.81  3.58  0.536    1.000   7.83   8.67   7.14   6.69   6.35  
 0.050  2824.   -1.65  3.54  0.628    1.000   7.42   8.24   6.74   6.29   5.95  
 0.060  2864.   -1.53  3.52  0.702    1.000   7.12   7.92   6.45   5.99   5.67  
 0.070  2897.   -1.41  3.50  0.781    1.000   6.84   7.63   6.18   5.71   5.40  
 0.072  2896.   -1.39  3.49  0.803    1.000   6.79   7.58   6.12   5.65   5.35  
 0.075  2897.   -1.36  3.48  0.829    1.000   6.71   7.51   6.05   5.58   5.27  
 0.080  2898.   -1.31  3.45  0.877    1.000   6.59   7.39   5.93   5.45   5.15  
 0.090  2908.   -1.23  3.43  0.959    1.000   6.38   7.18   5.72   5.24   4.94  
 0.100  2936.   -1.17  3.44  1.002    1.000   6.25   7.03   5.59   5.10   4.81  
 0.200  3226.   -0.66  3.38  1.503    1.000   5.04   5.64   4.43   3.78   3.56  
 0.300  3428.   -0.48  3.49  1.636    1.000   4.66   5.16   4.08   3.35   3.16  
 0.400  3634.   -0.32  3.55  1.753    1.000   4.34   4.73   3.78   2.99   2.82  
 0.500  3802.   -0.18  3.59  1.870    1.000   4.05   4.39   3.51   2.72   2.57  
 0.600  3955.   -0.07  3.63  1.971    1.000   3.79   4.10   3.28   2.52   2.37  
 0.700  4078.    0.04  3.64  2.096    1.000   3.54   3.83   3.05   2.31   2.18  
 0.800  4192.    0.13  3.66  2.200    1.000   3.32   3.59   2.85   2.16   2.04  
 0.900  4290.    0.21  3.66  2.310    1.000   3.12   3.38   2.67   2.01   1.90  
 1.000  4377.    0.28  3.67  2.416    1.000   2.95   3.20   2.51   1.88   1.77  
 1.100  4456.    0.35  3.68  2.520    1.000   2.79   3.03   2.36   1.76   1.66  
 1.200  4529.    0.41  3.68  2.612    0.999   2.65   2.88   2.24   1.65   1.56  
 1.300  4596.    0.47  3.69  2.710    0.998   2.51   2.73   2.11   1.55   1.46  
 1.400  4658.    0.52  3.69  2.797    0.998   2.39   2.61   2.00   1.46   1.37  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0020
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.010  2236.   -2.96  3.75  0.220    1.000  10.94  12.31   9.91   9.47   8.97  
 0.015  2452.   -2.65  3.78  0.262    1.000  10.02  11.15   9.16   8.74   8.30  
 0.020  2571.   -2.46  3.79  0.298    1.000   9.49  10.49   8.71   8.27   7.87  
 0.030  2707.   -2.14  3.74  0.387    1.000   8.67   9.55   7.96   7.51   7.14  
 0.040  2784.   -1.90  3.68  0.481    1.000   8.07   8.89   7.38   6.93   6.58  
 0.050  2829.   -1.72  3.62  0.574    1.000   7.61   8.41   6.93   6.47   6.14  
 0.060  2867.   -1.58  3.57  0.661    1.000   7.25   8.04   6.58   6.11   5.80  
 0.070  2902.   -1.45  3.54  0.743    1.000   6.95   7.73   6.29   5.81   5.51  
 0.072  2907.   -1.43  3.53  0.761    1.000   6.89   7.67   6.23   5.75   5.45  
 0.075  2914.   -1.40  3.52  0.785    1.000   6.81   7.59   6.15   5.67   5.37  
 0.080  2924.   -1.35  3.51  0.827    1.000   6.68   7.45   6.02   5.54   5.25  
 0.090  2934.   -1.26  3.48  0.904    1.000   6.47   7.25   5.82   5.33   5.04  
 0.100  2972.   -1.26  3.54  0.890    1.000   6.45   7.19   5.81   5.31   5.03  
 0.200  3202.   -0.96  3.67  1.077    1.000   5.77   6.35   5.18   4.58   4.34  
 0.300  3428.   -0.72  3.73  1.238    1.000   5.25   5.73   4.69   4.00   3.79  
 0.400  3606.   -0.55  3.77  1.363    1.000   4.89   5.29   4.34   3.60   3.42  
 0.500  3763.   -0.41  3.80  1.476    1.000   4.58   4.93   4.05   3.29   3.12  
 0.600  3906.   -0.29  3.83  1.562    1.000   4.33   4.65   3.82   3.06   2.91  
 0.700  4033.   -0.18  3.84  1.659    0.999   4.08   4.38   3.59   2.85   2.71  
 0.800  4153.   -0.09  3.86  1.748    0.996   3.85   4.13   3.38   2.67   2.55  
 0.900  4259.   -0.00  3.87  1.833    0.986   3.65   3.91   3.20   2.52   2.41  
 1.000  4350.    0.07  3.87  1.917    0.973   3.47   3.72   3.03   2.39   2.28  
 1.100  4432.    0.14  3.88  1.995    0.969   3.31   3.55   2.89   2.27   2.17  
 1.200  4508.    0.20  3.88  2.072    0.972   3.16   3.40   2.75   2.16   2.06  
 1.300  4581.    0.26  3.89  2.148    0.977   3.02   3.25   2.62   2.05   1.96  
 1.400  4653.    0.32  3.89  2.220    0.983   2.89   3.11   2.50   1.96   1.87  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0030
