#pressure,1nbar,,,,,,,,
#age,10Gyr,,,,,,,,
#metallicity,1x,,,,,,,,
flux (F_e),core mass (M_e),0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,1,2.71,2.88,,,,,,
1,2,1.96,2.04,2.31,2.7,3.34,,,
1,3,1.9,1.98,2.19,2.46,2.89,3.89,5.43,
1,4,1.92,1.99,2.19,2.41,2.76,3.57,4.69,6.64
1,5,1.95,2.04,2.2,2.41,2.72,3.44,4.39,5.97
1,6,1.99,2.07,2.23,2.43,2.73,3.38,4.22,5.62
1,8,2.07,2.14,2.3,2.49,2.77,3.34,4.08,5.28
1,10,2.14,2.21,2.37,2.57,2.82,3.35,4.03,5.13
1,13,2.23,2.3,2.49,2.66,2.89,3.4,4.03,5.05
1,16,2.31,2.4,2.59,2.74,2.97,3.45,4.05,5.03
1,20,2.41,2.54,2.7,2.84,3.06,3.52,4.11,5.05
10,1,,,,,,,,
10,2,3.03,3.17,3.66,,,,,
10,3,2.45,2.52,2.85,3.3,4.11,,,
10,4,2.3,2.36,2.63,2.97,3.5,4.87,,
10,5,2.24,2.33,2.55,2.83,3.27,4.33,5.83,
10,6,2.22,2.32,2.52,2.77,3.17,4.06,5.27,7.34
10,8,2.25,2.33,2.52,2.76,3.09,3.81,4.76,6.31
10,10,2.29,2.37,2.56,2.78,3.08,3.72,4.55,5.88
10,13,2.35,2.43,2.65,2.84,3.1,3.68,4.41,5.58
10,16,2.42,2.51,2.72,2.89,3.14,3.68,4.36,5.45
10,20,2.5,2.64,2.81,2.97,3.21,3.71,4.35,5.38
100,1,,,,,,,,
100,2,,,,,,,,
100,3,5.12,,,,,,,
100,4,3.66,3.45,4.02,,,,,
100,5,3.15,3.08,3.48,4.04,,,,
100,6,2.92,2.9,3.24,3.67,4.4,,,
100,8,2.64,2.75,3.02,3.38,3.87,5.03,6.7,
100,10,2.6,2.7,2.97,3.26,3.67,4.59,5.83,7.9
100,13,2.6,2.7,2.97,3.2,3.54,4.29,5.28,6.86
100,16,2.62,2.76,2.99,3.2,3.5,4.17,5.03,6.4
100,20,2.68,2.85,3.03,3.22,3.5,4.1,4.87,6.1
1000,1,,,,,,,,
1000,2,,,,,,,,
1000,3,,,,,,,,
1000,4,,,,,,,,
1000,5,,,,,,,,
1000,6,6.93,,,,,,,
1000,8,4.56,4.36,4.83,,,,,
1000,10,3.66,3.69,4.21,4.78,5.69,,,
1000,13,3.24,3.43,3.83,4.22,4.82,6.25,,
1000,16,3.13,3.36,3.66,3.98,4.45,5.55,7.04,
1000,20,3.15,3.33,3.57,3.83,4.22,5.11,6.28,8.16
