 planet |  satellite | code |         GM | GM_uncertainty | GM_ref |  radius | radius_uncertainty | radius_ref | density | density_uncertainty | density_ref
  Earth |       Moon |  301 |   4902.800 |          0.001 |  DE440 |  1737.4 |                0.1 |          1 |   3.344 |         0.001 |           *
   Mars |     Phobos |  401 |  0.0007087 |      0.0000006 | MAR097 |   11.08 |               0.04 |          1 |   1.872 |         0.076 |           *
   Mars |     Deimos |  402 |  0.0000962 |      0.0000028 | MAR097 |     6.2 |               0.24 |          1 |   1.471 |         0.166 |           *
Jupiter |         Io |  501 | 5959.91547 |        0.00135 | JUP365 | 1821.49 |                0.5 |          1 |  3.5276 |        0.0029 |           *
Jupiter |     Europa |  502 | 3202.71210 |        0.00181 | JUP365 |  1560.8 |                0.3 |          1 |  3.0130 |        0.0017 |           *
Jupiter |   Ganymede |  503 | 9887.83275 |        0.00247 | JUP365 |  2631.2 |                1.7 |          1 |  1.9416 |        0.0038 |           *
Jupiter |   Callisto |  504 | 7179.28340 |        0.00324 | JUP365 |  2410.3 |                1.5 |          1 |  1.8340 |        0.0034 |           *
Jupiter |   Amalthea |  505 |    0.16456 |        0.00867 | JUP365 |    83.5 |                3.0 |          1 |  1.0111 |        0.1213 |           *
Jupiter |    Himalia |  506 |    0.15155 |        0.05763 | JUP344 |    85.0 |               10.0 |          1 |  0.8827 |        0.4580 |           *
Jupiter |      Thebe |  514 |    0.03015 |        0.01250 | JUP365 |    49.3 |                4.0 |          1 |  0.9000 |        0.4327 |           *
Jupiter |   Adrastea |  515 |    0.00014 |        0.00020 | JUP365 |     8.2 |                4.0 |          1 |  0.9018 |        1.8507 |           *
Jupiter |      Metis |  516 |    0.00250 |        0.00160 | JUP365 |    21.5 |                4.0 |          1 |  0.9002 |        0.7642 |           *
 Saturn |      Mimas |  601 |    2.50349 |        0.00014 | SAT441 |   198.2 |                0.4 |          1 |  1.1501 |        0.0070 |           *
 Saturn |  Enceladus |  602 |    7.21037 |        0.00009 | SAT441 |   252.1 |                0.2 |          1 |  1.6097 |        0.0038 |           *
 Saturn |     Tethys |  603 |   41.21353 |        0.00031 | SAT441 |   531.1 |                0.6 |          1 |  0.9840 |        0.0033 |           *
 Saturn |      Dione |  604 |   73.11607 |        0.00005 | SAT441 |   561.4 |                0.4 |          1 |  1.4781 |        0.0032 |           *
 Saturn |       Rhea |  605 |  153.94175 |        0.00041 | SAT441 |   763.5 |                0.6 |          1 |  1.2372 |        0.0029 |           *
 Saturn |      Titan |  606 | 8978.13710 |        0.00025 | SAT441 | 2574.76 |               0.02 |          1 |  1.8814 |        0.0001 |           *
